Index	Bogennummer	REDE_Namen	Sprache	WS28::Transliteration WS 28
de	17999	Leutschau (Levoča)	1	Ihr derft nech solche Kendereien treiben!
de	180	Galowo	1	Ji döwe nië sohn Kinnerige drëiwe.
de	18000	Zipser Neudorf (Spišská Nová Ves)	1	Ihr derft nech solche Kenderejen treibn.
de	18001	Wagendrüssel (Nálepkovo)	1	Is terfst nëch sëte Toumheiten treibn.
de	18003	Göllnitz (Gelnica)	1	Jhs tefft's nech séte Kendereien treibn.
de	18004	Dobschau (Dobšiná)	1	Ihr tartz net setta Kenderein treiben.
de	-18008	Schmöllnitz (Smolník)	1	Es tefz néch séte Kendareien treim.
de	18010	Metzenseifen (Medzev)	1	Söte Kéndor töachtigkaitn soletz doch néet traim.
de	18013	Buchwald (Bučina)	1	Eis deafz neït seïchani Gschäila treim.
de	18018	Schattawa (Záton)	1	Dejs därfts nejt selcheni Cinere͜in treim.
de	18028	Zaborsch (Záhorí)	1	["Ähnlicher Ausdrück wie "Kinderei" hierorts nicht gebräuchlich."]
de	18058	Hirschbergen (Hiršperky/Jeleni)	1	Ihr daftst nit sulchi [buamastückln?] treim.
de	18064	Honetschlag (Hodňov)	1	Eis derfts nit suichani Dinga treim.
de	18091	Kollerschlag	1	Es derfts nit söchani Kinareian treim.
de	18095	Sankt Thoma (Svatý Tomáš)	1	Des derfz net sechtane Kinerein treim.
de	18101	Hohenfurth (Vyšší Brod)	1	Eïs derfts nit sulchi Sochn treim.
de	18132	Hummeln (Homole)	1	[Satz fehlt]
de	18135	Rudolfstadt (Rudolfov)	1	Ihr derft net sulchi Kindereien moch'n.
de	18144	Gross-Radischen	1	Es derfts net so a Schelmerei treiben.
de	18188	Priethal (Prídolí)	1	Eis dea(r)ft's nit süllani Kinarein trei(b)m.
de	18192	Gollnetschlag (Klení)	1	Eis derfts niht sejchtige Dummhä(d)n träbm.
de	18210	Weissenbach (Vysné)	1	Öjs derf'ts koani sou Buam[a?]stückln mocha!
de	18218	Langschwarza	1	Is derfts nit soiche Kinareian treibn.
de	1829	Rudszen (Poltavskoe)	1	Ju darfe nich sonne Kinderreie driewe.
de	18290	Unterwald	1	Ös dearfst nöt solchi Kindereien treibn.
